순위	빈도	항목	범주
231	4	으라니까	종
234	1	으라며	종
234	1	으라이	종
234	1	으래이	종
234	1	으랴	연
200	35	으랴	종
153	141	으러	연
120	363	으려	연
234	1	으려	종
132	268	으려고	연
231	4	으려고	종
234	1	으려구	종
234	1	으려나	종
229	6	으려니	연
230	5	으려니	종
234	1	으려니까	연
230	5	으려니와	연
231	4	으려다	연
172	84	으려면	연
232	3	으려야	연
234	1	으련	종
214	21	으련만	연
233	2	으련만	종
232	3	으렴	종
233	2	으렷다	종
234	1	으로	연
234	1	으리	선
218	17	으리	종
233	2	으리니	연
234	1	으리다	종
124	330	으리라	종
233	2	으리만치	연
228	7	으리만큼	연
229	6	으리오	종
233	2	으마	종
232	3	으매	연
36	4864	으며	연
225	10	으며	종
42	3410	으면	연
85	856	으면서	연
234	1	으면서도	연
234	1	으모	연
99	609	으므로	연
232	3	으믄	연
232	3	으사	연
234	1	으세	종
161	117	으세요	종
233	2	으셔요	종
233	2	으소	종
232	3	으소서	종
234	1	으쇼	종
234	1	으수	선
92	734	으시	선
234	1	으십시다	종
226	9	으십시오	종
234	1	으씨요	종
234	1	으오	종
234	1	으오리까	종
233	2	으이	연
233	2	으이	종
234	1	으이까	연
11	35910	은	관
234	1	은	연
135	240	은가	종
227	8	은걸	종
234	1	은게	연
234	1	은고	종
233	2	은께	연
234	1	은께네	연
234	1	은다	종
103	567	은데	연
160	119	은데	종
231	4	은들	연
234	1	은디	연
234	1	은바	연
193	48	은지	연
180	68	은지	종
234	1	은지라	연
20	13090	을	관
234	1	을	연
233	2	을	종
211	24	을걸	종
207	28	을게	종
233	2	을까	연
66	1526	을까	종
231	4	을꼬	종
213	22	을는지	종
234	1	을똥	연
234	1	을라	연
232	3	을라	종
234	1	을라고	연
230	5	을라고	종
234	1	을라꼬	종
234	1	을라믄	연
234	1	을라요	종
234	1	을락	연
234	1	을랍디	종
234	1	을래	연
222	13	을래	종
234	1	을려고	연
226	9	을망정	연
231	4	을밖에	종
219	16	을뿐더러	연
233	2	을세라	연
174	79	을수록	연
232	3	을쏘냐	종
221	14	을지	연
119	396	을지	종
234	1	을지니	연
234	1	을지도	종
234	1	을지라	종
207	28	을지라도	연
233	2	을지어다	종
214	21	을지언정	연
234	1	을진대	연
234	1	을진저	종
55	2401	음	명
225	10	음	종
234	1	음다	종
234	1	음둥	종
234	1	음매	종
234	1	음사	연
233	2	음서	연
175	77	음에도	연
221	14	읍시다	종
234	1	응게	연
232	3	응께	연
231	4	이	연
233	2	이	종
234	1	이가꼬	연
234	1	이니	연
234	1	이다	연
234	1	이다	종
231	4	이라	종
234	1	이라고	종
234	1	이라든지	연
223	12	이소	종
234	1	인교	종
230	5	입니다	종
234	1	입시다	종
232	3	잇	선
52	2628	자	연
40	3560	자	종
224	11	자고	연
170	86	자고	종
234	1	자구나	종
220	15	자꾸나	종
233	2	자느니	연
230	5	자니	연
순위	빈도	항목	범주순위	빈도	항목	범주229	6	자니까	종
133	261	자마자	연
233	2	자며	연
234	1	자며	종
117	409	자면	연
234	1	자우	종
234	1	잔께	종
234	1	잖	종
234	1	잖니	종
231	4	잖습니까	종
234	1	잖아	종
233	2	재	종
230	5	쟤	종
232	3	제	연
207	28	제	종
234	1	제라우	종
234	1	제요	종
234	1	제이	종
226	9	죠	연
50	2662	죠	종
233	2	쥬	종
13	25693	지	연
39	3795	지	종
234	1	지가	연
232	3	지는	연
234	1	지다	연
233	2	지도	연
234	1	지라	종
234	1	지라도	연
232	3	지러	종
234	1	지롱	종
234	1	지마	종
184	60	지마는	연
234	1	지만	관
25	8400	지만	연
234	1	지만	종
231	4	지만서도	연
233	2	지비	종
234	1	지야	종
234	1	지어다	종
228	7	지예	종
234	1	지요	연
65	1604	지요	종
234	1	지요이	종
228	7	지유	종
